,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13357,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Westmeath,Number,2.0
13358,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Wexford,Number,1.0
13359,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Wicklow,Number,2.0
13360,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Limerick,Number,2.0
13361,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Waterford,Number,2.0
13362,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Tipperary,Number,0.0
13363,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Cork,Number,7.0
13364,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Dublin,Number,14.0
13365,New Private Cars,2016,Up to 900 cc,All makes,All bands,All licensing authorities,Number,678.0
13366,New Private Cars,2016,Up to 900 cc,All makes,All bands,Carlow,Number,3.0
13367,New Private Cars,2016,Up to 900 cc,All makes,All bands,Cavan,Number,2.0
13368,New Private Cars,2016,Up to 900 cc,All makes,All bands,Clare,Number,14.0
13369,New Private Cars,2016,Up to 900 cc,All makes,All bands,Donegal,Number,8.0
13370,New Private Cars,2016,Up to 900 cc,All makes,All bands,Galway,Number,23.0
13371,New Private Cars,2016,Up to 900 cc,All makes,All bands,Kerry,Number,9.0
13372,New Private Cars,2016,Up to 900 cc,All makes,All bands,Kildare,Number,32.0
13373,New Private Cars,2016,Up to 900 cc,All makes,All bands,Kilkenny,Number,12.0
13374,New Private Cars,2016,Up to 900 cc,All makes,All bands,Laois,Number,8.0
13375,New Private Cars,2016,Up to 900 cc,All makes,All bands,Leitrim,Number,3.0
13376,New Private Cars,2016,Up to 900 cc,All makes,All bands,Longford,Number,0.0
13377,New Private Cars,2016,Up to 900 cc,All makes,All bands,Louth,Number,15.0
13378,New Private Cars,2016,Up to 900 cc,All makes,All bands,Mayo,Number,5.0
13379,New Private Cars,2016,Up to 900 cc,All makes,All bands,Meath,Number,33.0
13380,New Private Cars,2016,Up to 900 cc,All makes,All bands,Monaghan,Number,2.0
13381,New Private Cars,2016,Up to 900 cc,All makes,All bands,Offaly,Number,5.0
13382,New Private Cars,2016,Up to 900 cc,All makes,All bands,Roscommon,Number,3.0
13383,New Private Cars,2016,Up to 900 cc,All makes,All bands,Sligo,Number,5.0
13384,New Private Cars,2016,Up to 900 cc,All makes,All bands,Westmeath,Number,8.0
13385,New Private Cars,2016,Up to 900 cc,All makes,All bands,Wexford,Number,21.0
13386,New Private Cars,2016,Up to 900 cc,All makes,All bands,Wicklow,Number,29.0
13387,New Private Cars,2016,Up to 900 cc,All makes,All bands,Limerick,Number,36.0
13388,New Private Cars,2016,Up to 900 cc,All makes,All bands,Waterford,Number,17.0
13389,New Private Cars,2016,Up to 900 cc,All makes,All bands,Tipperary,Number,15.0
13390,New Private Cars,2016,Up to 900 cc,All makes,All bands,Cork,Number,88.0
13391,New Private Cars,2016,Up to 900 cc,All makes,All bands,Dublin,Number,282.0
13392,New Private Cars,2016,Up to 900 cc,All makes,Band  A,All licensing authorities,Number,632.0
13393,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Carlow,Number,3.0
13394,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Cavan,Number,2.0
13395,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Clare,Number,14.0
13396,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Donegal,Number,7.0
13397,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Galway,Number,22.0
13398,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Kerry,Number,9.0
13399,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Kildare,Number,31.0
13400,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Kilkenny,Number,12.0
13401,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Laois,Number,8.0
13402,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Leitrim,Number,3.0
13403,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Longford,Number,0.0
13404,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Louth,Number,13.0
13405,New Private Cars,2016,Up to 900 cc,All makes,Band  A,Mayo,Number,5.0
